ID,Block,Trial,TargetPosition,DistractorPosition,fix_x,fix_y
801,7,14,6,9,521,414
801,7,14,6,9,330,511
801,7,15,3,8,543,359
801,7,15,3,8,724,301
801,7,15,3,8,609,348
801,7,15,3,8,561,345
801,7,16,4,8,546,359
801,7,16,4,8,492,183
801,7,16,4,8,517,175
801,7,16,4,8,516,367
801,7,17,5,8,519,372
801,7,17,5,8,355,275
801,7,17,5,8,489,355
801,7,18,5,12,508,380
801,7,18,5,12,362,286
801,7,18,5,12,507,362
801,7,19,5,8,681,373
801,7,19,5,8,509,384
801,7,19,5,8,354,296
801,7,20,6,10,510,391
801,7,20,6,10,334,524
801,8,1,7,2,644,604
801,8,1,7,2,671,643
801,8,2,12,4,384,598
801,8,2,12,4,395,660
801,8,2,12,4,398,641
801,8,3,7,5,655,625
801,8,3,7,5,668,630
801,8,5,10,6,404,158
801,8,5,10,6,498,323
801,8,6,8,4,814,370
801,8,6,8,4,576,380
801,8,8,8,2,818,371
801,8,8,8,2,605,374
801,8,9,9,2,653,143
801,8,9,9,2,686,159
801,8,11,8,4,855,376
801,8,11,8,4,824,381
801,8,11,8,4,584,362
801,8,13,7,3,661,593
801,8,13,7,3,668,622
801,8,16,12,3,395,549
801,8,16,12,3,388,614
801,8,18,12,5,382,611
801,8,19,11,2,233,429
801,8,19,11,2,247,431
801,9,1,8,3,788,435
801,9,1,8,3,813,435
801,9,1,8,3,804,423
801,9,3,11,5,265,408
801,9,3,11,5,274,430
801,9,5,8,1,795,422
801,9,9,7,2,668,645
801,9,10,12,1,382,624
801,9,11,12,5,365,641
801,9,11,12,5,367,633
801,9,12,10,1,366,157
801,9,12,10,1,381,199
801,9,13,10,3,400,211
801,9,14,7,5,629,631
801,9,14,7,5,656,643
801,9,16,10,6,395,195
801,9,16,10,6,394,197
801,9,17,11,1,247,400
801,9,17,11,1,523,431
801,9,18,11,2,240,407
801,9,18,11,2,262,434
801,9,20,11,3,210,412
801,9,20,11,3,244,431
801,10,1,6,10,490,421
801,10,1,6,10,269,536
801,10,1,6,10,305,517
801,10,1,6,10,497,404
801,10,3,5,11,496,422
801,10,3,5,11,326,313
801,10,3,5,11,510,421
801,10,5,1,7,524,456
801,10,5,1,7,508,692
801,10,5,1,7,531,664
801,10,5,1,7,605,558
801,10,8,3,11,282,402
801,10,8,3,11,263,413
801,10,8,3,11,495,433
801,10,8,3,11,551,401
801,10,8,3,11,714,301
801,10,8,3,11,583,349
801,10,9,6,7,494,432
801,10,9,6,7,303,537
801,10,9,6,7,330,544
801,10,9,6,7,517,449
801,10,10,1,11,515,457
801,10,10,1,11,531,650
801,10,10,1,11,515,449
801,10,11,5,8,668,427
801,10,11,5,8,537,400
801,10,11,5,8,472,411
801,10,11,5,8,339,296
801,10,11,5,8,513,426
801,10,13,6,9,478,433
801,10,13,6,9,334,539
801,10,16,1,10,426,264
801,10,16,1,10,508,671
801,10,16,1,10,530,652
801,10,20,2,7,534,435
801,10,20,2,7,729,521
801,10,20,2,7,712,527
801,10,20,2,7,565,446
801,11,2,6,11,493,440
801,11,2,6,11,334,530
801,11,2,6,11,329,521
801,11,6,2,12,513,415
801,11,6,2,12,541,420
801,11,6,2,12,742,504
801,11,6,2,12,565,452
801,11,7,6,11,415,419
801,11,7,6,11,481,460
801,11,7,6,11,332,526
801,11,7,6,11,512,424
801,11,9,2,7,547,434
801,11,9,2,7,716,490
801,11,9,2,7,738,506
801,11,9,2,7,574,440
801,11,11,5,12,513,406
801,11,11,5,12,366,279
801,11,11,5,12,354,304
801,11,11,5,12,527,406
801,11,14,4,8,518,376
801,11,14,4,8,549,192
801,11,17,2,11,565,404
801,11,17,2,11,743,507
801,11,17,2,11,586,426
801,11,18,2,8,734,505
801,11,18,2,8,587,415
801,11,20,3,11,747,278
801,11,20,3,11,763,268
801,12,1,12,6,402,693
801,12,1,12,6,395,653
801,12,1,12,6,398,612
801,12,2,12,3,390,639
801,12,2,12,3,396,644
801,12,2,12,3,423,639
801,12,3,8,1,837,386
801,12,3,8,1,837,405
801,12,7,12,5,405,633
801,12,7,12,5,390,612
801,12,8,10,1,382,179
801,12,8,10,1,404,186
801,12,9,8,4,810,418
801,12,10,12,6,366,600
801,12,10,12,6,387,626
801,12,11,12,6,371,629
801,12,11,12,6,388,631
801,12,11,12,6,527,445
801,12,18,9,1,640,152
801,12,18,9,1,682,159
801,12,19,7,3,667,611
801,12,19,7,3,681,603
801,12,20,8,6,817,360
801,13,2,11,5,235,386
801,13,2,11,5,273,397
801,13,6,8,6,843,398
801,13,6,8,6,829,395
