ID,Block,Trial,Task,TargetPosition,DistractorPosition,Accuracy,fix_x,fix_y
801,2,18,1,4,7,1,518,180
801,3,1,1,1,12,1,350,693
801,3,1,1,1,12,1,369,654
801,3,1,1,1,12,1,541,423
801,3,1,1,1,12,1,512,426
801,3,1,1,1,12,1,545,657
801,3,1,1,1,12,1,526,665
801,3,1,1,1,12,1,510,476
801,3,4,1,4,12,1,522,193
801,3,4,1,4,12,1,516,394
801,3,5,1,6,12,1,492,418
801,3,5,1,6,12,1,284,547
801,3,5,1,6,12,1,327,527
801,3,6,1,6,9,1,513,441
801,3,6,1,6,9,1,291,547
801,3,6,1,6,9,1,308,547
801,3,7,1,6,12,1,506,454
801,3,7,1,6,12,1,347,537
801,3,7,1,6,12,1,323,553
801,3,8,1,4,7,1,516,392
801,3,8,1,4,7,1,520,208
801,3,13,1,2,11,1,514,414
801,3,13,1,2,11,1,552,432
801,3,13,1,2,11,1,726,513
801,3,13,1,2,11,1,736,520
801,3,13,1,2,11,1,569,440
801,3,14,1,5,7,1,499,408
801,3,14,1,5,7,1,324,274
801,3,14,1,5,7,1,519,420
801,3,15,1,5,7,1,526,424
801,3,15,1,5,7,1,299,300
801,3,15,1,5,7,1,317,296
801,3,15,1,5,7,1,512,414
801,3,16,1,1,8,1,534,427
801,3,16,1,1,8,1,523,651
801,3,16,1,1,8,1,536,640
801,3,16,1,1,8,1,531,462
801,3,17,1,3,12,1,540,403
801,3,17,1,3,12,1,724,329
801,3,17,1,3,12,1,562,412
801,3,20,1,5,12,1,509,388
801,3,20,1,5,12,1,325,292
801,3,20,1,5,12,1,485,379
801,4,1,2,11,2,1,206,387
801,4,1,2,11,2,1,247,392
801,4,1,2,11,2,1,478,392
801,4,3,2,8,1,1,787,423
801,4,3,2,8,1,1,814,445
801,4,4,2,8,2,1,831,430
801,4,5,2,12,5,1,440,477
801,4,5,2,12,5,1,376,594
801,4,5,2,12,5,1,400,635
801,4,6,2,9,4,1,654,101
801,4,6,2,9,4,1,682,152
801,4,8,2,7,4,1,590,403
801,4,8,2,7,4,1,685,568
801,4,8,2,7,4,1,670,639
801,4,9,2,8,4,1,815,411
801,4,9,2,8,4,1,804,422
801,4,10,2,12,3,1,373,639
801,4,12,2,12,4,1,419,639
801,4,12,2,12,4,1,384,674
801,4,14,2,7,1,1,567,516
801,4,14,2,7,1,1,658,661
801,4,18,2,10,2,1,359,139
801,4,19,2,11,5,1,209,381
801,4,19,2,11,5,1,225,380
801,5,1,2,11,4,1,216,408
801,5,1,2,11,4,1,260,388
801,5,2,2,12,6,1,385,625
801,5,2,2,12,6,1,400,627
801,5,3,2,10,3,1,417,165
801,5,3,2,10,3,1,404,177
801,5,4,2,9,1,1,698,153
801,5,4,2,9,1,1,685,160
801,5,5,2,11,4,1,235,377
801,5,5,2,11,4,1,253,385
801,5,6,2,11,6,1,253,371
801,5,7,2,9,5,1,677,171
801,5,9,2,7,4,1,650,595
801,5,9,2,7,4,1,663,604
801,5,11,2,10,5,1,390,157
801,5,11,2,10,5,1,401,161
801,5,12,2,8,2,1,679,335
801,5,12,2,8,2,1,803,393
801,5,12,2,8,2,1,810,371
801,5,13,2,9,2,1,688,128
801,5,14,2,10,4,1,397,151
801,5,15,2,12,5,1,389,685
801,5,15,2,12,5,1,373,645
801,5,15,2,12,5,1,384,615
801,6,2,1,5,7,1,635,579
801,6,2,1,5,7,1,449,350
801,6,2,1,5,7,1,299,293
801,6,2,1,5,7,1,483,358
801,6,5,1,3,7,0,533,376
801,6,5,1,3,7,0,698,291
801,6,5,1,3,7,0,728,288
801,6,5,1,3,7,0,538,357
801,6,10,1,3,12,1,557,355
801,6,10,1,3,12,1,725,258
801,6,10,1,3,12,1,742,263
801,6,10,1,3,12,1,569,331
801,6,11,1,6,11,1,489,366
801,6,11,1,6,11,1,318,515
801,6,11,1,6,11,1,349,513
801,6,12,1,1,8,1,527,393
801,6,12,1,1,8,1,521,560
801,6,12,1,1,8,1,523,598
801,6,12,1,1,8,1,512,431
801,6,20,1,4,11,1,547,358
801,6,20,1,4,11,1,558,187
801,6,20,1,4,11,1,540,368
801,7,1,1,4,12,1,526,367
801,7,1,1,4,12,1,537,187
801,7,1,1,4,12,1,526,389
801,7,2,1,5,12,1,501,375
801,7,2,1,5,12,1,339,316
801,7,2,1,5,12,1,483,392
801,7,2,1,5,12,1,512,388
801,7,3,1,3,8,1,562,338
801,7,3,1,3,8,1,734,275
801,7,3,1,3,8,1,551,348
801,7,6,1,2,10,1,440,254
801,7,6,1,2,10,1,566,413
801,7,6,1,2,10,1,734,504
801,7,6,1,2,10,1,550,381
801,7,7,1,5,12,1,511,356
801,7,7,1,5,12,1,362,333
801,7,7,1,5,12,1,522,379
801,7,8,1,3,8,1,546,337
801,7,8,1,3,8,1,735,280
801,7,8,1,3,8,1,748,283
801,7,8,1,3,8,1,581,336
801,7,11,1,1,11,1,530,390
801,7,11,1,1,11,1,526,600
801,7,11,1,1,11,1,520,422
801,7,13,1,5,10,1,510,357
801,7,13,1,5,10,1,315,317
801,7,13,1,5,10,1,335,291
801,7,13,1,5,10,1,514,380
