ID,Block,Trial,Task,Accuracy,RT
801,15,5,1,1,974.712
801,15,6,1,1,946.668
801,15,7,1,1,905.327
801,15,8,1,1,800.132
801,15,9,1,1,889.54
801,15,10,1,1,941.797
801,15,11,1,1,980.337
801,15,12,1,1,848.234
801,15,13,1,1,908.562
801,15,14,1,1,747.07
801,15,15,1,1,722.123
801,15,16,1,1,883.891
801,15,17,1,1,885.315
801,15,18,1,1,942.736
801,15,19,1,1,1045.56
801,15,20,1,1,934.544
801,16,1,2,1,763.747
801,16,2,2,1,581.587
801,16,3,2,1,682.148
801,16,4,2,1,620.061
801,16,5,2,1,1115.28
801,16,6,2,1,772.147
801,16,7,2,1,672.577
801,16,8,2,1,842.41
801,16,9,2,1,651.899
801,16,10,2,1,576.457
801,16,11,2,1,661.153
801,16,12,2,1,721.578
801,16,13,2,1,835.582
801,16,14,2,1,716.993
801,16,15,2,1,636.024
801,16,16,2,1,989.908
801,16,17,2,1,716.597
801,16,18,2,1,731.65
801,16,19,2,1,656.012
801,16,20,2,1,644.613
801,17,1,2,1,728.737
801,17,2,2,1,733.298
801,17,3,2,1,681.605
801,17,4,2,1,579.382
801,17,5,2,1,704.071
801,17,6,2,1,735.294
801,17,7,2,1,699.756
801,17,8,2,1,528.131
801,17,9,2,1,700.859
801,17,10,2,1,563.934
801,17,11,2,1,774.056
801,17,12,2,1,690.469
801,17,13,2,1,716.103
801,17,14,2,1,621.831
801,17,15,2,1,586.581
801,17,16,2,1,713.913
801,17,17,2,1,681.028
801,17,18,2,1,578.958
801,17,19,2,1,631.489
801,17,20,2,1,665.392
801,18,1,1,1,953.944
801,18,2,1,1,832.69
801,18,3,1,1,879.65
801,18,4,1,0,950.277
801,18,5,1,1,870.934
801,18,6,1,1,909.687
801,18,7,1,1,788.306
801,18,8,1,1,1355.38
801,18,9,1,1,1137.22
801,18,10,1,1,980.987
801,18,11,1,1,920.828
801,18,12,1,1,860.757
801,18,13,1,1,874.97
801,18,14,1,1,757.128
801,18,15,1,1,966.655
801,18,16,1,1,768.074
801,18,17,1,1,796.31
801,18,18,1,1,869.894
801,18,19,1,1,831.25
801,18,20,1,1,864.792
801,19,1,1,1,1167.13
801,19,2,1,1,1002.71
801,19,3,1,1,892.038
801,19,4,1,1,839.978
801,19,5,1,1,849.51
801,19,6,1,1,973.675
801,19,7,1,1,1009.66
801,19,8,1,1,826.824
801,19,9,1,1,721.664
801,19,10,1,1,782.081
801,19,11,1,1,1482.43
801,19,12,1,1,1170.68
801,19,13,1,1,915.606
801,19,14,1,1,2218.38
801,19,15,1,1,779.813
801,19,16,1,1,986.686
801,19,17,1,1,948.052
801,19,18,1,1,1346.53
801,19,19,1,1,1000.45
801,19,20,1,1,1809.74
801,20,1,2,1,788.171
801,20,2,2,1,723.112
801,20,3,2,1,679.449
801,20,4,2,1,673.277
801,20,5,2,1,739.161
801,20,6,2,1,538.088
801,20,7,2,1,542.928
801,20,8,2,1,694.306
801,20,9,2,1,834.975
801,20,10,2,1,785.718
801,20,11,2,1,672.669
801,20,12,2,1,666.455
801,20,13,2,1,729.672
801,20,14,2,1,688.805
801,20,15,2,1,733.189
801,20,16,2,1,601.557
801,20,17,2,1,643.6
801,20,18,2,1,784.104
801,20,19,2,1,804.428
801,20,20,2,1,640.722
801,21,1,2,1,562.961
801,21,2,2,1,549.117
801,21,3,2,1,916.451
801,21,4,2,1,611.242
801,21,5,2,1,703.785
801,21,6,2,1,615.182
801,21,7,2,1,579.55
801,21,8,2,1,568.398
801,21,9,2,1,666.362
801,21,10,2,1,737.521
801,21,11,2,1,669.914
801,21,12,2,1,671.825
801,21,13,2,1,601.673
801,21,14,2,1,619.536
801,21,15,2,1,752.301
801,21,16,2,1,639.232
801,21,17,2,1,635.843
801,21,18,2,1,693.67
801,21,19,2,1,586.169
801,21,20,2,1,689.411
801,22,1,1,1,988.917
801,22,2,1,1,1016.74
801,22,3,1,1,938.386
801,22,4,1,1,920.822
801,22,5,1,1,810.007
801,22,6,1,1,965.59
801,22,7,1,1,991.485
801,22,8,1,1,893.99
801,22,9,1,1,1026.26
801,22,10,1,1,920.563
801,22,11,1,1,887.318
801,22,12,1,1,936.924
801,22,13,1,1,924.855
801,22,14,1,1,846.271
801,22,15,1,1,887.626
801,22,16,1,1,811.771
801,22,17,1,1,791.948
801,22,18,1,1,1254.89
801,22,19,1,1,1047.64
801,22,20,1,1,1016.78
801,23,1,1,1,1006.86
801,23,2,1,1,864.187
801,23,3,1,1,863.114
801,23,4,1,1,813.797
801,23,5,1,0,786.004
801,23,6,1,1,858.861
801,23,7,1,1,919.048
801,23,8,1,1,935.76
801,23,9,1,1,799.143
801,23,10,1,1,1032.61
801,23,11,1,1,777.723
801,23,12,1,1,877.462
801,23,13,1,1,639.55
801,23,14,1,1,1089.43
801,23,15,1,1,874.507
801,23,16,1,1,785.276
801,23,17,1,1,685.587
801,23,18,1,1,863.466
801,23,19,1,1,862.213
801,23,20,1,1,889.766
801,24,1,2,1,1736.81
801,24,2,2,1,611.229
801,24,3,2,1,687.885
801,24,4,2,1,617.733
801,24,5,2,1,750.44
801,24,6,2,1,493.443
801,24,7,2,1,641.6
801,24,8,2,1,774.735
801,24,9,2,1,787.159
801,24,10,2,1,690.032
801,24,11,2,1,702.51
801,24,12,2,1,667.056
801,24,13,2,1,874.167
801,24,14,2,1,680.969
801,24,15,2,1,578.92
801,24,16,2,1,759.58
801,24,17,2,1,566.585
801,24,18,2,1,496.646
801,24,19,2,1,629.62
801,24,20,2,1,676.73
801,25,1,2,1,636.571
801,25,2,2,1,694.495
801,25,3,2,1,669.572
801,25,4,2,1,679.525
801,25,5,2,1,601.395
801,25,6,2,0,603.373
801,25,7,2,1,694.595
801,25,8,2,1,795.691
801,25,9,2,1,565.183
801,25,10,2,1,623.27
801,25,11,2,1,707.907
801,25,12,2,1,621.719
801,25,13,2,1,522.249
801,25,14,2,0,484.581
801,25,15,2,1,659.721
801,25,16,2,1,592.353
801,25,17,2,1,791.616
801,25,18,2,1,646.612
801,25,19,2,1,704.431
801,25,20,2,1,647.732
801,26,1,1,1,1047.18
801,26,2,1,1,738.966
801,26,3,1,1,863.398
801,26,4,1,1,694.171
801,26,5,1,1,874.635
801,26,6,1,1,929.478
801,26,7,1,1,997.388
801,26,8,1,1,726.764
801,26,9,1,0,696.394
801,26,10,1,1,857.609
801,26,11,1,1,854.23
801,26,12,1,1,868.877
801,26,13,1,1,723.14
801,26,14,1,1,773.023
801,26,15,1,1,753.285
801,26,16,1,1,736.972
801,26,17,1,1,1047.98
801,26,18,1,1,747.842
801,26,19,1,1,754.096
801,26,20,1,1,809.801
801,27,1,1,1,1350.99
801,27,2,1,1,804.911
801,27,3,1,1,889.251
801,27,4,1,1,906.706
801,27,5,1,1,929.451
801,27,6,1,1,853.235
801,27,7,1,1,921.455
801,27,8,1,1,1090.84
801,27,9,1,1,886.548
801,27,10,1,1,751.957
801,27,11,1,1,1895.02
801,27,12,1,1,857.172
801,27,13,1,1,941.261
801,27,14,1,1,985.305
801,27,15,1,1,879.821
801,27,16,1,1,889.382
801,27,17,1,1,962.807
801,27,18,1,1,902.709
801,27,19,1,1,850.677
801,27,20,1,1,1046.82
801,28,1,2,1,660.448
801,28,2,2,1,635.776
801,28,3,2,1,602.96
801,28,4,2,1,671.555
801,28,5,2,1,553.575
801,28,6,2,1,648.816
801,28,7,2,1,621.307
801,28,8,2,1,538.049
801,28,9,2,0,638.809
801,28,10,2,1,578.549
801,28,11,2,1,735.433
801,28,12,2,1,531.777
801,28,13,2,1,654.013
801,28,14,2,1,666.298
801,28,15,2,1,809.656
801,28,16,2,1,619.204
801,28,17,2,1,679.864
801,28,18,2,1,705.746
801,28,19,2,1,552.291
801,28,20,2,1,738.843
801,29,1,2,1,2480.61
801,29,2,2,1,756.314
801,29,3,2,1,675.353
801,29,4,2,1,709.221
801,29,5,2,1,926.939
801,29,6,2,1,690.848
801,29,7,2,1,652.765
801,29,8,2,1,649.336
801,29,9,2,0,629.907
801,29,10,2,1,596.458
801,29,11,2,1,732.355
801,29,12,2,1,568.667
801,29,13,2,1,586.731
801,29,14,2,1,713.423
801,29,15,2,1,699.802
801,29,16,2,1,584.306
801,29,17,2,1,949
801,29,18,2,1,745.164
801,29,19,2,1,791.978
801,29,20,2,1,718.317
801,30,1,1,1,1160.41
801,30,2,1,1,897.358
801,30,3,1,1,893.477
801,30,4,1,1,1081.54
801,30,5,1,1,978.626
801,30,6,1,1,857.157
801,30,7,1,1,861.255
801,30,8,1,1,788.055
801,30,9,1,1,755.093
801,30,10,1,1,940.77
801,30,11,1,1,904.818
801,30,12,1,1,980.951
801,30,13,1,1,848.914
801,30,14,1,1,786.214
801,30,15,1,1,894.588
801,30,16,1,1,1034.54
801,30,17,1,1,891.896
801,30,18,1,1,821.202
801,30,19,1,1,977.598
801,30,20,1,1,1045.3
801,31,1,1,1,1077.66
801,31,2,1,1,934.917
801,31,3,1,1,834.811
801,31,4,1,1,828.326
801,31,5,1,1,867.211
801,31,6,1,1,828.626
801,31,7,1,1,662.139
801,31,8,1,1,749.239
801,31,9,1,1,668.342
801,31,10,1,1,819.642
801,31,11,1,1,671.699
801,31,12,1,1,1121.73
801,31,13,1,1,829.236
801,31,14,1,1,838.822
801,31,15,1,1,904.208
801,31,16,1,1,990.959
801,31,17,1,1,720.13
801,31,18,1,1,825.892
801,31,19,1,0,939.348
801,31,20,1,1,760.784
801,32,1,2,1,1597.8
801,32,2,2,1,693.726
801,32,3,2,1,762.282
801,32,4,2,1,1124.08
801,32,5,2,1,676.871
801,32,6,2,1,614.789
801,32,7,2,1,683.324
801,32,8,2,1,621.186
801,32,9,2,1,684.552
801,32,10,2,1,565.952
801,32,11,2,1,616.386
801,32,12,2,1,597.05
801,32,13,2,0,615.032
801,32,14,2,1,782.094
801,32,15,2,1,650.542
801,32,16,2,1,636.25
801,32,17,2,1,710.259
801,32,18,2,1,621.191
801,32,19,2,1,809.816
801,32,20,2,1,571.023
802,1,1,1,0,530.58
802,1,2,1,1,15208.7
802,1,3,1,1,1880.91
802,1,4,1,1,1480.31
802,1,5,1,1,1388.91
802,1,6,1,1,1462.8
802,1,7,1,1,1770.29
802,1,8,1,1,1329.89
802,1,9,1,1,1017.77
802,1,10,1,1,1566.34
802,1,11,1,1,1350.35
802,1,12,1,1,1486.98
802,1,13,1,1,1223.37
802,1,14,1,1,1101.37
802,1,15,1,1,929.127
802,1,16,1,1,1029
802,1,17,1,1,982.093
802,1,18,1,1,660.744
802,1,19,1,1,831.273
802,1,20,1,1,904.928
802,2,1,2,1,820.822
802,2,2,2,1,515.694
802,2,3,2,0,498.202
802,2,4,2,1,888.666
802,2,5,2,1,732.909
802,2,6,2,1,913.251
802,2,7,2,1,727.324
802,2,8,2,1,921.84
802,2,9,2,1,843.089
802,2,10,2,1,716.539
802,2,11,2,1,790.341
802,2,12,2,1,1165.38
802,2,13,2,1,614.111
802,2,14,2,1,669.576
802,2,15,2,1,690.741
802,2,16,2,1,583.045
802,2,17,2,1,692.542
802,2,18,2,1,728.326
802,2,19,2,1,986.937
802,2,20,2,1,982.593
802,3,1,2,1,834.117
802,3,2,2,1,584.978
802,3,3,2,1,733.599
802,3,4,2,1,759.332
802,3,5,2,1,638.417
802,3,6,2,1,723.029
802,3,7,2,1,634.103
802,3,8,2,1,638.686
802,3,9,2,1,811.385
802,3,10,2,1,676.941
802,3,11,2,1,700.148
802,3,12,2,1,768.741
802,3,13,2,1,631.636
802,3,14,2,1,799.038
802,3,15,2,1,634.531
802,3,16,2,1,766.011
802,3,17,2,1,636.93
802,3,18,2,1,727.684
