latitude,longitude
44.055529,-123.084564
44.055428,-123.084562
44.055327,-123.084557
44.05523,-123.084527
44.055133,-123.084523
44.055043,-123.084554
44.054943,-123.084586
44.054851,-123.084591
44.054752,-123.084559
44.054651,-123.084526
44.054542,-123.084485
44.054442,-123.084424
44.054357,-123.084382
44.054254,-123.084308
44.054156,-123.084217
44.054066,-123.084134
44.053967,-123.084043
44.053864,-123.083967
44.05376,-123.0839
44.053668,-123.083848
44.053569,-123.083784
44.053463,-123.083717
44.053358,-123.08366
44.053264,-123.083609
44.053177,-123.083559
44.053084,-123.08349
44.052993,-123.083426
44.052908,-123.083369
44.052825,-123.083307
44.052722,-123.083227
44.052636,-123.083137
44.052554,-123.083047
44.052484,-123.082955
44.052397,-123.082861
44.052343,-123.082758
44.052265,-123.082651
44.052194,-123.082532
44.052148,-123.08241
44.052089,-123.082281
44.052014,-123.082171
44.051941,-123.082077
44.051891,-123.08196
44.051836,-123.081819
44.05176,-123.081698
44.051698,-123.081606
44.051644,-123.081484
44.051597,-123.081355
44.051542,-123.081251
44.051472,-123.081127
44.051422,-123.081006
44.051384,-123.080881
44.051358,-123.080746
44.051324,-123.080615
44.051303,-123.080465
44.051268,-123.080331
44.051239,-123.080198
44.051208,-123.080051
44.051179,-123.079913
44.051146,-123.079776
44.051114,-123.079638
44.051072,-123.079502
44.051035,-123.079364
44.051003,-123.079232
44.050981,-123.079085
44.050943,-123.078962
44.050904,-123.078845
44.05087,-123.07871
44.050866,-123.078575
44.050901,-123.078446
44.050943,-123.078311
44.050969,-123.078162
44.050935,-123.078023
44.050898,-123.077902
44.050854,-123.077781
44.050745,-123.077729
44.050652,-123.077717
44.050553,-123.07769
44.050493,-123.077596
44.050482,-123.077434
44.050491,-123.077308
44.050561,-123.077198
44.050644,-123.077124
44.050741,-123.077048
44.050836,-123.07697
44.050924,-123.076893
44.051008,-123.076785
44.051039,-123.076646
44.051032,-123.0765
44.051021,-123.076346
44.051007,-123.076203
44.050982,-123.076077
44.050929,-123.075967
44.050843,-123.075886
44.050753,-123.07581
44.050666,-123.075738
44.050588,-123.075644
44.050517,-123.075535
44.050465,-123.075416
44.050428,-123.075288
44.050387,-123.075152
44.050367,-123.075002
44.050352,-123.07485
44.050353,-123.074692
44.050336,-123.074552
44.050293,-123.074418
44.050243,-123.074289
44.050185,-123.074188
44.050106,-123.074105
44.050015,-123.074025
44.049936,-123.073942
44.049853,-123.073833
44.049785,-123.073716
44.049735,-123.073587
44.049699,-123.073446
44.049673,-123.073306
