name    count_2012
Ahmara  7
Ahmari  291
Ahmaria 35
Ahmarie 5
Ahmarria    6
Ahmaya  150
Ahmi    5
Ahmia   80
Ahmiah  5
Ahmina  6
Ahmira  54
Ahmiracle   13
Ahmirah 20
Ahmiya  120
Ahmiyah 124
Ahmoni  37
Ahmonie 6
Ahmya   447
Ahmyah  56
Ahmyiah 12
Ahmyra  7
Ahna    1032
Ahnalee 6
Ahnaleigh   5
Ahnaya  17
Ahnesti 51
Ahnesty 38
Ahni    54
Ahnia   33
Ahniah  13
Ahnika  208
Ahnisty 6
Ahniya  294
Ahniyah 219
Ahniyla 10
Ahnjayla    18
Ahnna   216
Ahnya   142
Ahnyah  53
Ahnyia  6
Ahnyla  37
Ahnylah 6
Ahona   5
Ahonesti    18
Ahonesty    27
Ahreanna    5
Ahri    12
Ahria   25
Ahriana 150
Ahrianna    143
Ahriel  14
Ahriya  15
Ahriyah 18
Ahrya   13
Ahsaki  59
Ahsha   56
Ahshanti    6
Ahsia   18
Ahslee  59
Ahsley  1956
Ahtyana 7
Ahtziri 1000
Ahtziry 287
Ahuva   1111
Ahva    12
Ahvianna    5
Ahyana  88
Ahyanna 59
Ahylin  6
Ahyonna 6
Ahzaria 19
Ahzariah    10
Ahzhane 7
Ahziyah 13
Ai  483
Aia 10
Aiah    23
Aiana   138
Aianna  52
Aibhilin    11
Aibhlinn    44
Aicha   677
Aichatou    18
Aicia   93
Aida    32233
Aidah   57
Aidaliz 23
Aidaly  58
Aidalyn 12
Aidan   3014
Aide    3135
Aided   10
Aidee   1007
Aideen  87
Aidel   219
Aidelis 12
Aideliz 110
Aidelyn 12
Aiden   1700
Aidet   5
Aideth  13
Aidia   44
Aidin   13
Aidrianna   5
Aidsa   30
Aidy    12
Aidyn   634
Aidynn  52
Aiesha  2016
Aieshia 11
Aigne   12
Aigner  373
Aija    424
Aijah   343
Aijalon 119
Aijha   8
Aika    161
Aiko    3937
Aila    1102
Ailah   70
Ailaina 25
Ailana  80
Ailani  1089
Ailanie 22
Ailanny 7
Ailany  247
Aile    37
Ailea   86
Aileah  40
Ailean  130
Aileana 22
Ailed   213
Ailee   379
Aileen  76471
Aileena 81
Aileene 2090
Aileigh 5
Ailen   208
Ailena  11
Ailene  9061
Aileny  5
Ailet   6
Aileth  32
Ailey   534
Aili    4165
Ailia   47
Ailie   1187
Ailin   764
Ailina  13
Ailine  121
Ailis   147
Ailisa  31
Ailise  7
Ailish  466
Ailiyah 13
Ailleen 118
Aillene 35
Ailsa   795
Aily    98
Ailyn   2333
Ailyne  58
Ailynn  236
Aima    41
Aiman   85
Aimani  6
Aimar   104
Aimara  21
Aime    2553
Aimee   77086
Aimen   27
Aimi    145
Aimie   1042
Aimme   32
Aimsley 6
Aimy    323
Ain 35
Aina    1305
Ainara  92
Aindrea 34
Aine    1396
Ainhoa  41
Aini    5
Ainka   14
Aino    637
Ainslee 855
Ainsleigh   312
Ainsley 11213
Ainslie 472
Ainzlee 14
Ainzley 12
Aionna  13
Aira    234
Airabella   105
Airalyn 10
Airalynn    5
Airam   651
Airanna 59
Aire    28
Aireal  364
Aireana 213
Aireanna    307
Aireka  8
Airel   345
Airelle 305
Airen   201
Aireon  5
Aireona 227
Aireonna    178
